検索用,単語,感想,,商品説明,,備考／解説,該当法令★
はだしつ,肌質,自分の肌質に関する言及は可,「肌質が変化した」等は不可,不可,「肌質が変化する商品」等は不可,化粧品の効能効果から逸脱するため,医薬品適正広告基準３条（８）
ひっす,必須,→【炎上懸念ワード】参照,炎上リスクに注意すること,―,必須かどうかは本人が決める,必須か否かは本人が決めることのため。炎上リスクに注意。,ー
ますと,マスト,→【炎上懸念ワード】参照,炎上リスクに注意すること,―,マストかどうかは本人が決める,マストか否かは本人が決めることのため。炎上リスクに注意。,ー
きゅうせいしゅ,救世主,可(炎上リスク有)→【炎上懸念ワード】参照,別に悪いとは言わんけど言葉強いので前後の文脈で判断,―,ー,言葉が強い。炎上リスクに注意。→【炎上懸念ワード】参照,ー
ふせぐ,防ぐ,不可,「〇〇を防ぐ」,化粧品56項目内であれば可→【法令とかまとめ】参照,化粧品56項目外のものは不可,→【法令とかまとめ】参照。,ー
ふせいだ,防いだ,不可,「〇〇を防いだ」,化粧品56項目内であれば可→【法令とかまとめ】参照,化粧品56項目外のものは不可,　　　　　〃,ー
そっこう,速攻,不可,「速攻で効いた」「速攻〇〇」,事実である限り可,―,効能効果の発現程度は事実でなければ言及不可,医薬品適正広告基準３条（７）
ひきしまった,引き締まった,不可,「顔が引き締まった」「毛穴が引き締まる」,化粧品等では不可,「顔が引き締まった」「毛穴が引き締まった」,化粧品の効能効果から逸脱するため,医薬品適正広告基準３条（８）
ひきしまる,引き締まる,不可,「顔が引き締まる」「毛穴が引き締まる」,化粧品等では不可,「顔が引き締まる」「毛穴が引き締まる」,化粧品の効能効果から逸脱するため,医薬品適正広告基準３条（８）
りらっくす,リラックス,「リラックスタイムに使う」等,「いい香りでリラックスできる」「リラックス効果」等,「リラックスタイムに使える商品」,「リラックス効果のある商品」,精神作用への言及はできない,医薬品適正広告基準３条（８）
いやし,癒やされる,「癒しの時間に使う」等,「癒し効果もある香り」「癒し効果」等,「癒しの時間を演出する商品」,「癒し効果のある商品」,精神作用への言及はできない,医薬品適正広告基準３条（８）
なじむ,馴染む,可…肌馴染みがいい,―,可,―,,
はだなじみ,肌馴染み,可,―,可,―,,
